CustVend_Name
1 LOGISTIC LLP
3R LOGISTICS PTE LTD
A-SONIC LOGISTICS PTE LTD 
A21 LOGISTICS PTE LTD
ABT MEDICAL PRODUCTS PTE LTD
ACCURA GROUPAGE SERVICES PTE LTD
ACE OILFIELD LOGISTICS PTE LTD
ACTLINK CONTAINER LINES PTE LTD
ACTLINK LOGISTICS PTE LTD
ADANI GLOBAL PTE LTD
ADDICON LOGISTICS MANAGEMENT (S) PTE LTD
AD GLOBAL TRADING PTE LTD 
ADM COCOA PTE LTD
ADS LINE SERVICE PTE LTD
ADVANCE MATERIAL SUPPLIES
AERO WORLD TRANSPORT PTE LTD
A.F. HOOSEN AND SONS PTE LTD
AGE D'OR PTE LTD
AGI FREIGHT SINGAPORE PTE LTD
A.HARTRODT SINGAPORE PTE LTD
AIPEC LOGISTICS 
AIR PRODUCT & CHEMICALS (S) PTE LTD
AIRFLEX PTE LTD
AJINOMOTO (SINGAPORE) PTE LTD
AJMAL TRADE MART PTE LTD 
AKATI IMPEX PTE LTD
AKZO NOBEL ADHESIVES PTE LTD 
ALADDINS TRADING PTE LTD
ALBICO TRADING LLP
ALE HEAVYLIFT (M) SDN BHD
ALLPORT CARGO SERVICES LOGISTICS PTE LTD
ALLIANCE DIVINE IMPEX PTE LTD
ALLIANCE GLOBAL LOGISTICS PTE LTD
ALLWAY LOGISTICS PTE. LTD.
ALMANAC MARITIME PTE LTD
ALPEX PTE LTD
ALYAA INTERNATIONAL PTE LTD
AMCOR FLEXIBLES SINGAPORE PTE LTD
AMEROID LOGISTICS (S) PTE LTD
AMASS LOGISTICS PTE LTD 
AMPRO PTE LTD
ANTS LOGISTICS PTE LTD
APAC ENERGY RENTAL PTE LTD
APAC VENDINGS PTE LTD 
APL LOGISTICS LTD
AQTION PTE LTD
ARIKI PTE LTD
ARKLIFE DISTRIBUTORS PTE LTD 
ARPIN INTERNATIONAL (ASIA) PTE LTD
ARROWAY LOGISTICS PTE LTD
ASHLAND SINGAPORE PTE LTD
ASIA EVOLUTION (S) PTE LTD
ASIAN GROUPAGE SERVICES PTE LTD
ASIA PASSION PTE LTD
ASL SOLUTIONS PTE LTD 
ASM LOGISTICS (S) PTE LTD 
ASPRESS SHIPPING (S) PTE LTD
ASPRESS SHIPPING PTE LTD
ASTRAL ELECTRICAL ENTERPRISE
ASTRO EXPRESS LOGISTICS PTE LTD
ASTRO PACIFIC PTE LTD
ATLANTIC SHIPPING XPRESS PTE LTD 
ATM GLOBAL LOGISTICS (S) PTE LTD
ATTICOZ INTERNATIONAL PTE LTD
AURIC PACIFIC MARKETING  PTE LTD 
AUSTIN ENERGY (ASIA) PTE LTD
AUSTASIA FOOD PTE LTD
AWOT GLOBAL LOGISTICS SINGAPORE PTE LTD
BAN HIN SAWMILL CO PTE LTD 
BAN LEE HUAT SEED PTE LTD
BARWIL QC AGENCIES LTD CHITTAGONG
BDP ASIA PACIFIC PTE LTD
BEGA INDUSTRIES PTE LTD
BEN FOODS (S) PTE LTD
BENI WAREHOUSING PTE LTD
BESTWAY ASIA LOGISTICS (S) PTE LTD
BEST TASTE IMPEX (S) PTE LTD
BHAVNA PTE LTD
BKV LOGISTICS CSDN BHD
BLUE SKY TRADING FZE
BOLLORE LOGISTICS SINGAPORE PTE LTD
BORDEN CO (PTE) LTD
BRITISH-AMERICAN TOBACCO (SINGAPORE) PTE LTD
BS INTERNATIONAL NETWORKS PTE LTD
BS SHIPPING (CHITTAGONG)
BTO SINGAPORE PTE LTD.
BUANA SHIPPING & MARINE PTE LTD 
BUCKMAN LABORATORIES (ASIA) PTE LTD
BUILTECH ENTERPRISE PTE LTD
BUILDABLES PTE LTD
BYCOM INDUSTRIES
CADBURY ENTERPRISES PTE LTD
CARGOWORLD (S) PTE LTD
CARGO HUB GROUPAGE SERVICES PTE LTD
CARGOLD LOGISTICS PTE LTD
CATERPILLAR S.A.R.L
CAUSEWAY PAINTS PTE LTD
CCM SINGAPORE PTE LTD
CENTURY MARINE SUPPLY  PTE LTD
CENTRAL EXPRESS LINES PTE LTD 
CENTURY MARITIME (PTE) LTD COLOMBO
CEREAL TECH PTE LTD
